cumulated_reward, time 
-31, 245 
141, 366 
129, 475 
59, 542 
132, 608 
128, 692 
128, 782 
237, 860 
-6, 901 
126, 957 
127, 1026 
82, 1079 
38, 1103 
125, 1154 
135, 1230 
39, 1279 
126, 1327 
1240, 1518 
1244, 1711 
1238, 1894 
1232, 2087 
1232, 2269 
1256, 2461 
1232, 2645 
1242, 2837 
1232, 3026 
1232, 3222 
1230, 3421 
